publisher	country
University of Nevada Press	United States of America
University of New Mexico Press	United States of America
University of North Carolina Press	United States of America
University of North Texas Press	United States of America
University of Oklahoma Press	United States of America
University of Oregon Press	United States of America
University of Ottawa Press	Canada
University of Pittsburgh Press	United States of America
University of Queensland Press	Australia
University of Santo Tomas Publishing House	Philippines
University of Scranton Press	United States of America
University of Tehran Press	Iran
University of Toronto Press	Canada
University of Utah Press	United States of America
University of Valle Publishing Program	Colombia
University of Virginia Press	United States of America
University of Wales Press	United Kingdom
University of Wisconsin Press	United States of America
University of the West Indies Press	Jamaica
Urban and Regional Information Systems Association	United States of America
Utah State University Press	United States of America
Vajra Enterprises	United States of America
Valmonde	France
Vanderbilt University Press	United States of America
Vanguard Press	United States of America
Vavilla Ramaswamy Sastrulu and Sons	India
Verenigde Nederlandse Uitgeverijen	Netherlands
Villard	United States of America
Viper Comics	United States of America
Visible Ink Press	United States of America
Vulgar Press	Australia
W. Foulsham & Company Limited	United Kingdom
WJEC	United Kingdom
Wadjet Eye Games	United States of America
Wake Forest University Press	United States of America
Wakefield Press	Australia
Walker Books	United Kingdom
Washington State University Press	United States of America
Washington Summit Publishers	United States of America
Waterson, Berlin & Snyder, Inc.	United States of America
Way and Williams Publishers	United States of America
Wayne State University Press	United States of America
Wesleyan University Press	United States of America
West	United States of America
West Virginia University Press	United States of America
Kobe Shimbun Co.	Japan
Lambert Schneider Verlag	Germany
Enslow Publishers	United States of America
Cranium, Inc.	United States of America
Apus Software	Belarus
Uitgeverij Verloren	Netherlands
Musikwissenschaftlicher Verlag Wien	Austria
Touch Press	United Kingdom
Q14893434	Germany
Belarus	Belarus
Q14920591	Germany
Kadokawa Future Publishing	Japan
Helion & Company	England
Chartwell Books	United States of America
Airlife Publishing	England
Greenhill Books	England
Pictorial Histories Publishing Company	United States of America
Brassey's Publishers	England
Bonanza Printing	United States of America
Presidio Press	United States of America
MacDonald and Jane's	England
Facts on File	United States of America
W. H. Smith Publishers	United States of America
Gallery Books	United States of America
Smithmark	United States of America
Brian Trodd Publishing House	England
Lowe & B. Hould Publishers	United States of America
Mallard Press	United States of America
Crescent Books	United States of America
Amber Books	England
Sports Car Press	United States of America
Berkley Publishing Group	United States of America
United States Playing Card Company	United States of America
JL International	United States of America
Arco Publishing	United States of America
Rebo International	Netherlands
Kunstverlag Josef Fink	Germany
Galahad Books	United States of America
J. B. Lippincott & Co.	United States of America
Panini Group	Italy
Bleicher Verlag	Germany
Donald M. Grant, Publisher	United States of America
Verlag Die Werkstatt	Germany
Q15133639	Germany
Verlag Werben & Verkaufen	Germany
Hong Kong University Press	China
Purger & Co.	Germany
Lexis Numérique	France
Slemani Polytechnic University	Iraq
Bruns	Germany
Q15433710	Germany
Theologische Verlagsgemeinschaft	Germany
Salon Verlag	Germany
Q15438913	Germany
Eugen Salzer-Verlag	Germany
Q13030515	Russia
Q13033070	Belarus
Albas	Albania
Gramedia Pustaka Utama	Indonesia
Dalen	United Kingdom
Gwasg Gwynedd	United Kingdom
Gwasg Gee	Wales
Gwasg y Brython	United Kingdom
Gwasg y Bwthyn	United Kingdom
Hugh Evans & Sons	United Kingdom
Utjouwerij Elikser	Netherlands
Q13142475	France
Spiegel-Verlag	Germany
Ediciones Trabe	Spain
Cló Mhaigh Eo	Ireland
Verlag Gerhard Rautenberg	Poland
Tatar Book Publishing House	Russia
Yoran Embanner	France
Bubble Comics	Russia
EMI Music Publishing Ltd.	United Kingdom
Ekholm & Tegebjer	Sweden
New Chapter Press	United States of America
Éditions John Doe / Chibi	France
65. pole	Czech Republic
Evropský literární klub	Czech Republic
Sfinx	Czech Republic
Timber Press	United States of America
The Japanese Society of Internal Medicine	Japan
Nikkei Inc.	Japan
Q11512310	Japan
Akashi Shoten	Japan
Q11514041	Japan
Asahi Shimbun Publications	Japan
Workers' Party of Korea Publishing House	North Korea
Tōkyō Bijutsu	Japan
Tohoku University Press	Japan
Q11547308	Japan
Min'yūsha	Japan
Publishing House of Minority Nationalities	China
Suiseisha	Japan
Kyuko Shoin	Japan
Kahoku Shimpo Publishing Company	Japan
Hosei University Press	Japan
Hōzōkan	Japan
Tankosha Publishing	Japan
Miotsukushi	Japan
Rironsha	Japan
Sankei Shimbun Co.	Japan
Hakuteisha	Japan
Doshinsha Publishing	Japan
Centre Vendéen de Recherches Historiques	France
Keizaikai	Japan
The Seikyo Press	Japan
Flower City Publishing House	China
GeijutsuShinbunsha	Japan
Akane Shinsha	Japan
Kadokawa Haruki Corporation	Japan
The Yomiuri Shimbun, Seibu	Japan
The Yomiuri Shimbun, Osaka	Japan
Suharaya Ichibee	Japan
Suwaraya Mohei	Japan
Q11688269	Poland
Q11689554	Poland
Educational Research Institute	Poland
Institute of Paleobiology	Poland
Q11722495	United States of America
Wydawnictwo Karakter	Poland
Kolejowa Oficyna Wydawnicza	Poland
Carta	Israel
Compagnie des Arts Photomécaniques	France
Computer Press	Czech Republic
Mirage Media S.C.	Poland
Muza	Poland
Oficyna Wydawnicza Politechniki Warszawskiej	Poland
Centre for Philosophical Research	Poland
Ośrodek Myśli Politycznej	Poland
Valgus	Estonia
Q12386318	Spain
Q12387267	Spain
Q12387265	Spain
Edicións Xerais de Galicia	Spain
Q12387268	Spain
Editorial Hugin e Munin	Spain
Lar (publishing house)	Spain
Rinoceronte Editora	Spain
Sotelo Blanco Edicións	Spain
Q12401604	Spain
Q12406679	Israel
Q12409042	Israel
Mekhon Yerushalayim	Israel
Indian Press Limited	India
Rake in Grass	Czech Republic
Navajivan Trust	India
Rajkamal Prakashan	India
Kepustakaan Populer Gramedia	Indonesia
Sunan Kalijaga Islamic University	Indonesia
Jakarta State Islamic University	Indonesia
State University of Yogyakarta	Indonesia
Tadulako University	Indonesia
Q12537774	Ukraine
The Korean Institute of Electrical Engineers	South Korea
Grand Brilliance	Malaysia
Skop Productions	Malaysia
Q12711256	Malaysia
Editura Allfa	Romania
Casa Radio Publishing House	Romania
Laguna	Serbia
Nolit	Serbia
Baronet	Czech Republic
Mladé letá	Slovakia
Cankarjeva založba	Slovenia
Ruslica	Slovenia
Q12803951	Slovenia
Q12806470	Slovenia
Založba Goga	Slovenia
Giresun University	Turkey
Q12872999	Greece
Hestia Publishers	Greece
Czech News Center	Czech Republic
Q12980350	India
Q12988106	India
Matichon	Thailand
Scottish Bible Society	United Kingdom
Suzaku Games	Japan
Del Prado	Spain
DoReMi Music	Japan
Hamster Corporation	Japan
Q11335844	Japan
Micro Magazine	Japan
Medical Friend	Japan
LEED Publishing	Japan
Locus	United Kingdom
Wanimagazine	Japan
Villagebooks	Japan
Chugoku Shimbun Company	Japan
Chunichi Shimbun Company	Japan
Shufunotomo	Japan
Kyushu University Press	Japan
Czech Office of Surveying and Cadastre	Czech Republic
Shinzansha Publisher	Japan
Shinano Mainichi Shimbun	Japan
Kaiseisha	Japan
Adventure Planning Service	Japan
Kagaku-Dojin Publishing	Japan
Hokkaido Shimbun Press	Japan
Hokkaido Nikkan Sports News	Japan
Hokuryukan	Japan
Nan'un-do	Japan
Kokusho Kankōkai	Japan
Japan Society of Civil Engineers	Japan
Hochi Shimbun	Japan
Taishukan Shoten	Japan
Daizō Shuppan	Japan
Daitosha	Japan
Amada Printing	Japan
Ie no Hikari	Japan
Komine Shoten	Japan
Yamakawa Shuppansha	Japan
Okayama University Press	Japan
Seikyōsha	Japan
Suken Shuppan	Japan
Shin Nihonkai Shinbunsha	Japan
Niigata Nippo	Japan
Nikkan Sports News	Japan
Nikkan Sports News West Japan	Japan
Kopp Verlag	Germany
Marxistische Blätter	Germany
Q1320244	Austria
Verlag Volk und Welt	Germany
Tinta Publishing	Hungary
Q1322296	Germany
Typotex Publishing	Hungary
Q1326369	Germany
University of South Bohemia in České Budějovice	Czech Republic
Neumann Verlag	Germany
Traveldiary Verlag	Germany
Grünes Herz	Germany
Alfred A. Knopf	United States of America
Winning Moves	United States of America
Q1505706	Germany
Modern Language Association	United States of America
Stark Verlag	Germany
Q1506138	Austria
Lukas Verlag	Germany
Routledge	United Kingdom
Q1508637	Germany
Süleyman Demirel University	Turkey
Schäffer-Poeschel Verlag	Germany
Orell Füssli	Switzerland
Gerhard Blümlein	Germany
MünchenVerlag	Germany
Verlag Karl J. Trübner	Germany
Gerth Medien GmbH	Germany
Q1516991	Austria
System 3	United Kingdom
Q1517367	Germany
Q1517919	Germany
Basque Studies Society	Spain
Gevaert	Belgium
Rockefeller University Press	United States of America
The Company of Biologists	United Kingdom
Verlag J.H.W. Dietz Nachf. Bonn	Germany
Institution of Electrical Engineers	United Kingdom
Q1530112	Germany
Transit Buchverlag GmbH	Germany
Gmeiner-Verlag	Germany
College of Family Physicians Canada	Canada
The Good Book Company	United Kingdom
Eidolon Publications	Australia
Eisenbrauns	United States of America
Eland Publishing	United Kingdom
The Mainichi Newspapers Co.	Japan
Elias Howe Company	United States of America
SoftBank Creative	Japan
DMM.com	Japan
Embroiderers' Guild	United Kingdom
Encounter Books	United States of America
Western Islands	United States of America
Westminster John Knox	United States of America
Westview Press	United States of America
Wheatland Press	United States of America
Whitaker House	United States of America
Whitman Publishing	United States of America
Wildside Press	United States of America
Wilkins Farago	Australia
William Collins, Sons	United Kingdom
William Morrow and Company	United States of America
William Reed Business Media	United Kingdom
Wipf and Stock	United States of America
Woodhead Publishing	England
Wordfarm	United States of America
Writers Workshop	India
Wydawnictwo Uniwersytetu Śląskiego	Poland
Yalova University	Turkey
Yaquinto Publications	United States of America
Yunnan People's Publishing House	China
Yurindo	Japan
Zakharov Books	Russia
Zed Books	United Kingdom
Zondervan	United States of America
Überplay	United States of America
McGraw-Hill, Publishing Group Italia	Italy
Yuhikaku Publishing	Japan
Studio e.go!	Japan
Japan Bible Society	Japan
Edicions Bromera	Spain
ΟΙΚΟΥΜΕΝΗ	Czech Republic
Q8346992	Spain
KANZELSBERGER	Czech Republic
Q8771929	Spain
Ediciones Rialp	Spain
Edicions del Bullent	Spain
Editorial Anagrama	Spain
Editorial Moll	Spain
Nakladatelství Alfa	Czech Republic
Gebr. E. & M. Cohen	Netherlands
Q13641736	Netherlands
Gysbers & van Loon	Netherlands
Het Spinhuis	Netherlands
MAIK Nauka/Interperiodica	Russia
Universitätsverlag C. Winter	Germany
Perfect World Entertainment	United States of America
Hodder & Stoughton	United Kingdom
Center for Social Studies, University of Coimbra	Portugal
Belaruskai͡a ėntsyklapedyi͡a	Belarus
Cultural Cooperative of Esperanto Speakers	Brazil
Veen Bosch & Keuning	Netherlands
Brück & Sohn	Germany
Dokořán	Czech Republic
Polish Chemical Society	Poland
Polskie Towarzystwo Informatyczne	Poland
Polskie Wydawnictwo Ekonomiczne	Poland
Polskie Towarzystwo Zoologiczne	Poland
Q11825519	Poland
Prószyński i S-ka	Poland
Q11830619	Czech Republic
Art House	Finland
Atena Kustannus	Finland
Forssa Print	Finland
Gaudeamus	Finland
Gummerus	Finland
Vltava Labe Media	Czech Republic
Ilkka-Yhtymä	Finland
Into Kustannus	Finland
Kaleva	Finland
KPK Yhtiöt	Finland
Suomen Mies	Finland
Lakimiesliiton Kustannus	Finland
Sanoma News	Finland
Sanoma Magazines	Finland
Siltala	Finland
Teos	Finland
Terra Cognita	Finland
VL-Media	Finland
Voima Kustannus	Finland
A Contra Vent Editors	Spain
Castellnou Edicions	Spain
Edicions Vitel·la	Spain
Edicions La Mirada	Spain
Q11917993	Spain
Editorial Alpina	Spain
Editorial Aymà	Spain
Editorial Bosch	Spain
Editorial Empúries	Spain
Editorial Meteora	Spain
Q11932309	Spain
Llibres del Mall	Spain
Votobia	Czech Republic
Obrador Edèndum	Spain
ARS	Japan
Tokyo Shoten	Japan
Index Corporation	Japan
Musashino Art University Press	Japan
Say-zan-sha Publications	Japan
Playism	Japan
Schildts & Söderströms	Finland
Rafael Dalmau Editor	Spain
Editorial Barcino	Spain
Editorial Barcanova	Spain
Q17302004	Chile
Bildner Verlag	Germany
Q17321342	Germany
Neofelis Verlag	Germany
Olzog Verlag	Germany
Hentrich & Hentrich	Germany
Q17327061	Switzerland
Bouvier Verlag	Germany
La Lune sur le toit	France
Q17355423	France
Q17364284	Spain
LOM Ediciones	Chile
Minoas Editions	Greece
Editorial Base	Spain
Mare Nostrum	France
Bento Books	United States of America
Fight the New Drug, Inc.	United States of America
Paul Ollendorff	France
13Mann	Germany
Q17521254	Germany
Q17521897	Germany
Löcker Verlag	Austria
Electa	Italy
Dr. Ludwig Reichert Verlag	Germany
Droste Verlag	Germany
EOS Verlag	Germany
Euromedia Group	Czech Republic
Fullbright	United States of America
Wed. C.A. Vieweg en Zoon	Netherlands
Neue Pressegesellschaft	Germany
Q17591548	Germany
Q17591836	Germany
Stellwerck	Germany
Asterion Press	Italy
Q15445620	Austria
Neuer Deutscher Verlag	Germany
Akademische Druck- und Verlagsanstalt	Austria
Institute of International Relations Prague	Czech Republic
Theological Publishing House in Zurich	Switzerland
Q15534386	Czech Republic
Q15616496	Switzerland
Em. Querido Publishing	Netherlands
Bouvier	Germany
Ludwig Röhrscheid Verlag	Germany
Q15694827	Switzerland
Q15695446	France
Slovenské pedagogické nakladateľstvo	Slovakia
Ferdinand Hirt & Sohn	Germany
Práh	Czech Republic
Headline Publishing Group	United Kingdom
ABOD	Germany
Q15781200	Germany
Aerosoft	Germany
Q15781967	Germany
Q15782877	Germany
Arktos Media	Hungary
Q15784355	Germany
Ausbildungspark Verlag	Germany
Q15784911	Germany
Bahnmedien.at	Austria
Westflügel Verlag	Germany
Bayard Mediengruppe Deutschland	Germany
Q15787591	Germany
Binooki Verlag	Germany
Blue Ocean Entertainment	Germany
Q15792823	Germany
Q15794306	Germany
Christophorus Verlag	Germany
CreateSpace.com	United States of America
Cuvillier Verlag	Germany
Q15805007	Germany
Dotbooks	Germany
Dustri-Verlag	Germany
Edition Atelier	Austria
Edition Apollon	Germany
Edition Raetia	Italy
edition assemblage	Germany
Edition Ruprecht	Germany
Q15807301	Germany
Einhorn-Verlag	Germany
Fotokinoverlag	Germany
Q15815170	Switzerland
Herbert von Halem Verlag	Germany
Q15819024	Germany
Ingeborg Hanreich Verlag	Austria
Internationaler Psychoanalytischer Verlag	Austria
Q15820562	Germany
Jugenddienst-Verlag	Germany
Q15823115	Austria
Kindle Direct Publishing	United States of America
Klaus Bielefeld Verlag	Germany
Q15824744	Germany
Laaber-Verlag	Germany
Q15833055	Germany
Medhochzwei Verlag	Germany
Miriam Verlag	Germany
Mital-U	Switzerland
Q15835527	Austria
Gerald Duckworth and Company	United Kingdom
Panama Verlag	Germany
Q15839496	Germany
Q15841076	Germany
Q15843103	Switzerland
Q15843462	Switzerland
Q15843542	Germany
Q15844201	Germany
Schmetterling Verlag	Germany
Q15850238	Switzerland
Q15850355	Germany
Q15850495	Germany
Q15851410	Germany
Q15851752	Germany
Universal Publishing Production Music	Germany
Verlag Inspiration Un Limited	Germany
Q15852673	Germany
Q15852678	Germany
Verlag Volk und Gesundheit	Germany
Verlag von Julius Klinkhardt	Germany
Verlag Jungbrunnen	Austria
Q15852682	Germany
Verlagsgesellschaft Rudolf Müller	Germany
Q15852680	Germany
Verlag Moderne Industrie	Germany
Verlagsgruppe Bistumspresse	Germany
Q15853933	Germany
Zambon-Verlag	Germany
Health & Strength, Ltd	United Kingdom
Q15858336	Austria
Clavis (publisher)	Belgium
Van Gorcum	Netherlands
HJB Verlag & Shop KG	Germany
Knorr und Hirth	Germany
Derby & Miller	United States of America
Q19971253	Austria
Edition Gorz	Germany
Marix Verlag	Germany
Graphic Communications Group Limited	Ghana
Q20010098	Italy
Éditions Le Télégramme	France
Galápagos Jogos	Brazil
Jan Melvil Publishing	Czech Republic
Verlag Alfred Druckenmüller	Germany
Editorial mansalva	Argentina
Q20074562	Ukraine
Molod	Ukraine
Fischer-Taschenbuch-Verlag	Germany
Galland Books	Spain
El Gall Editor	Spain
Q20104010	Spain
Q20104883	Spain
Curial Edicions Catalanes	Spain
Editorial López	Spain
Q20107012	Spain
L'Altra Editorial	Spain
Editorial Piolet	Spain
Ponent Mon	Spain
Sembra Llibres	Spain
carl’s books	Germany
American Tract Society	United States of America
A. Bernecker Verlag	Germany
Wostok	Germany
Correctiv	Germany
Q20181416	Germany
Plem Plem Productions	Germany
Q20182969	Germany
Det Nordiske Forlag	Denmark
Geste éditions	France
Ranka Kustannus	Finland
Jāņa sēta	Latvia
Q8772137	Spain
Grup 62	Spain
Grupo Editorial Norma	Colombia
Hispavox	Spain
Joc Internacional	Spain
Kerykion	Spain
Q9052335	Spain
Q9158924	Poland
Q9170750	Poland
Indian-Polish Library	India
Q9184894	Poland
CyberFront	Japan
Chervona Kalyna	Ukraine
Edipresse Polska	Poland
Egmont Poland	Poland
Energa	Poland
Q9264436	Poland
North American Academy of the Spanish Language	United States of America
Rock-Serwis	Poland
Q9336412	Poland
Q9353469	Poland
Toruń Society of Arts and Sciences	Poland
Q9369482	Poland
Waneko	Poland
Q9377764	Poland
wkl	Poland
Wydawnictwa Szkolne i Pedagogiczne sp. z o.o.	Poland
Q9379177	Poland
Wydawnictwa Uniwersytetu Warszawskiego	Poland
Q9379191	Poland
Q9379200	Poland
Wydawnictwo Krytyki Politycznej	Poland
Q9379234	Poland
Wydawnictwo Polskie R. Wegnera	Poland
Wydawnictwo Sejmowe	Poland
Q9379259	Poland
Wrocław University Press	Poland
Świat Książki	Poland
Q9631203	Brazil
Ateliê Editorial	Brazil
Bloch Editores	Brazil
Boitempo Editorial	Brazil
Editora Brasiliense	Brazil
Casa Publicadora Brasileira	Brazil
Q9698150	Brazil
Companhia Editora Nacional	Brazil
Q10260421	Brazil
Cosac & Naify	Brazil
Difel	Portugal
Q10266279	Brazil
Diário da Bahia	Brazil
Dynacom	Brazil
EBAL	Brazil
Q10270299	Brazil
Editora 34	Brazil
Q10270338	Brazil
Q10270337	Brazil
Q10270340	Brazil
Q10270346	Brazil
Q10270345	Brazil
Editora FTD	Brazil
Q10270362	Brazil
Editora Melhoramentos	Brazil
Editora Pimenta de Mello	Brazil
Q10270377	Brazil
Editora UNESP	Brazil
Editora	Brazil
Q10270398	Brazil
Editora da Universidade de São Paulo	Brazil
Q10270400	Brazil
Edições Asa	Portugal
Edições GRD	Brazil
Escola Bahiana de Medicina e Saúde Pública	Brazil
Espaço Informática	Brazil
Federação Espírita Brasileira	Brazil
Guangzhou Daily Newspaper Group	China
Q10285907	Brazil
Gorceix Foundation	Brazil
Geração Editorial	Brazil
Q10289443	Brazil
Pan-American Publishing	Brazil
Record Publishing House	Brazil
Texas Christian University Press	United States of America
Holiday House	United States of America
Infinitas Learning	Netherlands
Ohio University Press	United States of America
Aurora Film Corporation	India
Loyola Press	United States of America
Avery Publishing	United States of America
Spiegel & Grau	United States of America
Breakwater Books	Canada
Lethe Press	United States of America
Lighthouse Trails Publishing	United States of America
Information Age Publishing	United States of America
Temple University Press	United States of America
Necromancer Games	United States of America
Wild Whirled Music	United States of America
Zubaan	India
47North	United States of America
Alma Books	United Kingdom
Arbordale Publishing	United States of America
Louisiana State University Press	United States of America
University of Tennessee Press	United States of America
Fitzhenry & Whiteside	Canada
Black Mask Studios	United States of America
Blue Orange Games	United States of America
House of Anansi Press	Canada
Jeremy P. Tarcher Inc.	United States of America
Curve Games	United Kingdom
Dark Regions Press	United States of America
Sport Wales	United Kingdom
Fleetway Publications	United Kingdom
Frederick Ungar Publishing Company	United States of America
Freebandz	United States of America
G. K. Hall & Co.	United States of America
Holland Publishing	United Kingdom
Immediate Media Company	United Kingdom
Inter-Varsity Press	United Kingdom
Hendrickson Publishers	United States of America
Henry Altemus Company	United States of America
Hill & Wang	United States of America
Hippocrene Books	United States of America
Humana Press	United States of America
International Living	Ireland
Kenzer & Company	United States of America
Kore Press	United States of America
Nick Hern Books	United Kingdom
York Publishing Services	England
Kanok Bannasan	Thailand
K.G. Murray Publishing Company	Australia
Stubblejumper Press	Canada
Art Union of London	England
Australian Council for Educational Research	Australia
Pluto Press	United Kingdom
T. & A. D. Poyser	United Kingdom
Rivington	United Kingdom
Silver Burdett	United States of America
The Do Book Company	United Kingdom
Ryerson Press	Canada
Lerner Publishing Group	United States of America
Yoozoo Games	China
Sophia Institute Press	United States of America
Horwitz Publishing House	Australia
Lawrence & Gibson	New Zealand
Flanor	Netherlands
Talonbooks	Canada
India Book House	India
Playmarket	New Zealand
Southern Illinois University Press	United States of America
Ibn Sina Trust	Bangladesh
Te Herenga Waka University Press	New Zealand
India Today Group	India
Open Library of Humanities	United Kingdom
Mad Norwegian Press	United States of America
Sel Yayıncılık	Turkey
Soft Skull Press	United States of America
New World Library	United States of America
The Aeolian Company	United States of America
Gibbs Smith	United States of America
Red Hen Press	United States of America
Wisconsin Historical Society Press	United States of America
Shaw Media	United States of America
Love Inspired	Canada
Zenescope Entertainment	United States of America
Melcher Media	United States of America
N. Simrock	Germany
New Vessel Press	United States of America
ars vivendi verlag	Germany
Mind Storm Labs	United States of America
Q17127828	Austria
Tri Tac Games	United States of America
Centro Apologético Cristão de Pesquisas	Brazil
Q17145852	Brazil
Q17145856	Brazil
Presses du Midi	France
Österreichisches Katholisches Bibelwerk	Austria
Marvel Absurd	United States of America
Church House Publishing	United Kingdom
Espasa-Calpe	Spain
Leuven University Press	Belgium
Matthias-Grünewald-Verlag	Germany
B. L. Garnier	Brazil
Livraria José Olympio Editora (Rio de Janeiro, Brazil)	Brazil
Livraria Martins Editora	Brazil
Q10319335	Brazil
Q10319333	Brazil
Q10319336	Brazil
Livros do Brasil	Portugal
Q10321194	Brazil
Q10322953	Brazil
Q10326973	Brazil
Q10331423	Brazil
Nova Fronteira	Brazil
Ordem dos Médicos	Portugal
Palas Athena	Brazil
Paz e Terra	Brazil
Q10355408	Portugal
RGE	Brazil
Rocco	Brazil
Sextante Editora	Brazil
Brazilian Chemical Society	Brazil
Sociedade Bíblica do Brasil	Brazil
Academia	Czech Republic
Terramar	Portugal
Tipografia Universal	Brazil
Q10385497	Brazil
Unipro	Brazil
Federal University of Lavras	Brazil
Federal University of Southern Bahia	Brazil
Universidade Potiguar	Brazil
Mato Grosso State University	Brazil
University of Western São Paulo	Brazil
Editora Vecchi	Brazil
Tsinghua University Press	China
Ática	Brazil
Alltid attack förlag	Sweden
Axel Eliassons Konstförlag	Sweden
Gansu People's Publishing House	China
Publishing House of Electronics Industry	China
Q10432204	Sweden
Q10432931	Sweden
Carlsson bokförlag	Sweden
Q10455876	Denmark
Ersatz (publisher)	Sweden
Finnish Art Society	Finland
Historiska Media	Sweden
Egmont Publishing Norway	Norway
Yilin Press	China
Könemann-Verlagsgesellschaft	Germany
Lancelot Games	Sweden
Leopard förlag	Sweden
Mindless Gaming	Sweden
Q10591730	Sweden
Natur & Kultur	Sweden
Q29517411	Italy
Henschelverlag Kunst und Gesellschaft	Germany
Drei Hasen in der Abendsonne	Germany
Platt & Platt	United States of America
Flatiron Books	United States of America
Q29784315	Russia
MedCrave Group	United States of America
W. C. Murray and D. Rees	Wales
Williams Electronics Games	United States of America
Ofarim	Israel
Q29960692	Austria
Institut Français d'Études Andines	Peru
Cummings and Hilliard	United States of America
Beijing United Publishing Company	China
Klinkhardt & Biermann	Germany
A. Vandale	Belgium
TheMeatly Games	Canada
F. W. Niven & Co.	Australia
Q30067988	Russia
Duomo Ediciones	Spain
Debolsillo	Spain
Red Hook Studios	Canada
DAZN	England
Warner, Beers & Co.	United States of America
Henry C. Lea	United States of America
Q30192591	Germany
Verlag Marie Leidorf	Germany
Q30242775	Mexico
Institution de la Recherche et de l’Enseignement Supérieur Agricoles	Tunisia
Association for Research in Vision and Ophthalmology	United States of America
CentMa (Germany)	Germany
Electronic Arts (United Kingdom)	United Kingdom
Muzejní a vlastivědná společnost v Brně	Czech Republic
Czech Moravian Psychological Society	Czech Republic
Host	Czech Republic
Slack Incorporated (United States)	United States of America
Instituto Nacional de Salud Pública	Mexico
Linking Publishing	Taiwan
Editorial Carena	Spain
Papercutz	United States of America
Novello & Co	United Kingdom
Editorial Cruïlla	Spain
Islamic Texts Society	United Kingdom
Ironhide Game Studio	Uruguay
Q16020680	France
Gandhi Information Center	Germany
Q16078830	France
Dar Al-Marefah Printing & Publishing	Lebanon
Mizrahi	Israel
Ov Publishing	Israel
Volvox Globator	Czech Republic
Yongsang Publising Media, Inc	South Korea
Medium	United States of America
ABDO Publishing Company	United States of America
Abilene Christian University Press	United States of America
Q16215688	Germany
Tailhook Association	United States of America
Agora Financial	United States of America
Brunswick Books	Canada
Eos Press	United States of America
YoYo Games	United Kingdom
Archaeopress	United Kingdom
James Currey	United Kingdom
Veloce Publishing	United Kingdom
Q16295238	Germany
Q16323189	Denmark
Q16323562	Denmark
Q16323566	Denmark
Q16323582	Denmark
Informations Forlag	Denmark
Lademann	Denmark
P.G. Philipsens Forlag	Denmark
Kedros	Greece
Patakis Publishers	Greece
Sophia Publications	France
Goražde printing house	Bosnia and Herzegovina
Bombyx	France
Eesti Kirjanike Kooperatiiv	Sweden
Estonian Academic Agricultural Society	Estonia
Van Dieren	France
Assírio & Alvim	Portugal
Q16497897	Brazil
Q16517560	Spain
Vydavateľstvo Obzor	Slovakia
Editura Meridiane	Romania
Q16521825	Romania
Q16523205	Romania
Q16523264	Romania
Q16523433	Romania
Academia Ecuatoguineana de la Lengua Española	Equatorial Guinea
Bononia University Press	Italy
Q16551275	Italy
Edizioni Ets	Italy
Edizioni Qiqajon	Italy
Q16551280	Italy
Q16551950	Italy
Q16554387	Spain
Q16554437	Italy
Institute of Animal Reproduction and Food Research	Poland
Marcianum Press	Italy
Palomar	Italy
Q16597112	Spain
Edizioni San Marco dei Giustiniani	Italy
Q16601184	Italy
Q16606684	Italy
Società editrice Barbarossa	Italy
Wydawnictwo Format	Poland
Georg	Switzerland
La Contre Allée	France
Q16652499	France
Q16655292	France
Les XII Singes	France
Q16662516	France
Mardaga	Belgium
Q16670980	France
Scriptarium	France
Somogy éditions d'Art	France
Stamperia Reale	Italy
Éditions Alto	Canada
Q16684373	France
Ex Aequo	France
Éditions La Dispute	France
Q16684392	Canada
Solar	France
Éditions du Tricorne	Switzerland
Q16698741	Ukraine
Tekhnika	Ukraine
Nishinippon Shimbun Company	Japan
CDU SEDES	France
Q16832172	Germany
GIA Publications	United States of America
İzmir Kâtip Çelebi University	Turkey
JRP-Ringier	Switzerland
Ultima Necat	France
Bilforlaget	Norway
"Izdatelʹstvo ""Peterburgskoe Vostokovedenie"""	Russia
Kokusai Tsushinsha	Japan
Association pour le développement de l'enseignement et de la recherche (Aquitaine)	France
Q18018195	Germany
Bonifatius	Germany
Butzon & Bercker	Germany
Q18025891	Austria
Trafo Verlagsgruppe	Germany
Verlag Dr. Dieter Winkler	Germany
Q18029108	Germany
Vier-Türme-Verlag	Germany
A. Armando	Italy
Champlain Society	Canada
Bangladesh Bioethics Society	Bangladesh
Casa editrice Risorgimento	Italy
Q18129528	Spain
Blank Slate Books	United Kingdom
Grand Central Publishing	United States of America
Humanix Books	United States of America
Night Dive Studios	United States of America
Munroe & Francis	United States of America
Pushkin Press	United Kingdom
Two Rivers Press	United Kingdom
Magabala Books	Australia
Michigan Publishing	United States of America
Metropolis	Germany
Charles L. Webster and Company	United States of America
Yodo1	China
Statistical and Social Inquiry Society of Ireland	Ireland
Norsk Musikforlag	Norway
VEDA	Slovakia
Global Editora	Brazil
Q18286256	Germany
Q18286375	Germany
Brighton Verlag	Germany
Dietrich Reimer Verlag	Germany
Hamburger Edition	Germany
Editoriale Sometti	Italy
Q18289345	Canada
Q18289749	Sweden
Q18290169	Sweden
Rainer Hampp Verlag	Germany
Verlag Ludwig Schulbuch	Germany
Q18342848	Russia
Les Figues Press	United States of America
Craig Potton Publishing	New Zealand
Hyperion Press	United States of America
Digest Group Publications	United States of America
International Society for Stem Cell Research	United States of America
Dreamville Records	United States of America
